	F1norm_rprr	alpha	datasetname	delta	knownmodules	method	precision	recall	recovery	relevance	runningtime
0	0.0	1.01	ecoli_colombos	0.0001	strict	chengchurch	0.0	0.0	0.0	0.0	238.139634847641
1	0.0	1.01	ecoli_colombos	0.0001	interconnected	chengchurch	0.0	0.0	0.0	0.0	238.139634847641
2	0.0	1.01	ecoli_colombos	0.0001	minimal	chengchurch	0.0	0.0	0.0	0.0	238.139634847641
3	0.0	1.01	ecoli_colombos	0.0002	strict	chengchurch	0.0	0.0	0.0	0.0	263.15875220298767
4	0.0	1.01	ecoli_colombos	0.0002	interconnected	chengchurch	0.0	0.0	0.0	0.0	263.15875220298767
5	0.0	1.01	ecoli_colombos	0.0002	minimal	chengchurch	0.0	0.0	0.0	0.0	263.15875220298767
6	0.0	1.01	ecoli_colombos	0.0005	strict	chengchurch	0.0	0.0	0.0	0.0	223.00857400894165
7	0.0	1.01	ecoli_colombos	0.0005	interconnected	chengchurch	0.0	0.0	0.0	0.0	223.00857400894165
8	0.0	1.01	ecoli_colombos	0.0005	minimal	chengchurch	0.0	0.0	0.0	0.0	223.00857400894165
9	0.0	1.01	ecoli_colombos	0.001	strict	chengchurch	0.0	0.0	0.0	0.0	215.07784795761108
10	0.0	1.01	ecoli_colombos	0.001	interconnected	chengchurch	0.0	0.0	0.0	0.0	215.07784795761108
11	0.0	1.01	ecoli_colombos	0.001	minimal	chengchurch	0.0	0.0	0.0	0.0	215.07784795761108
12	0.0	1.01	ecoli_colombos	0.002	strict	chengchurch	0.0	0.0	0.0	0.0	218.84271001815796
13	0.0	1.01	ecoli_colombos	0.002	interconnected	chengchurch	0.0	0.0	0.0	0.0	218.84271001815796
14	0.01296033733539039	1.01	ecoli_colombos	0.002	minimal	chengchurch	3.624960626384754e-05	0.0003485838779956427	0.08496732026143791	0.007195302879981321	218.84271001815796
15	0.01959885162793072	1.01	ecoli_colombos	0.005	strict	chengchurch	7.747660898842843e-05	0.0002795126840928368	0.07323232323232323	0.008964516559583607	193.2169439792633
16	0.018946802971818274	1.01	ecoli_colombos	0.005	interconnected	chengchurch	4.921991443693971e-05	0.00021331325679151765	0.06719367588932806	0.010002337362276742	193.2169439792633
17	0.018577975958590096	1.01	ecoli_colombos	0.005	minimal	chengchurch	5.282851283146576e-05	0.000423666371942234	0.08714896214896213	0.011442830993755097	193.2169439792633
18	0.10584875839964646	1.01	ecoli_colombos	0.01	strict	chengchurch	0.00047978295697672724	0.0014025891411387594	0.12242965367965367	0.021543238614112115	140.01834392547607
19	0.10150883544712919	1.01	ecoli_colombos	0.01	interconnected	chengchurch	0.00029641631839127925	0.0010658316236547528	0.10634920634920635	0.020783148618702178	140.01834392547607
20	0.06518593306455098	1.01	ecoli_colombos	0.01	minimal	chengchurch	0.00018730656415396176	0.0016077763795816534	0.10206337779867192	0.029683785652258727	140.01834392547607
21	0.08149185841615932	1.01	ecoli_colombos	0.02	strict	chengchurch	0.0004546116375777819	0.0007407118912026218	0.1468253968253968	0.013444343683903182	74.92512512207031
22	0.014779167427071482	1.01	ecoli_colombos	0.02	interconnected	chengchurch	3.952894247378647e-05	0.00015262515262515263	0.07692307692307693	0.0064445355727440245	74.92512512207031
23	0.01630448343744264	1.01	ecoli_colombos	0.02	minimal	chengchurch	4.739117517358358e-05	0.00030972617179513733	0.06831831831831832	0.011410974260689202	74.92512512207031
24	0.05258592740389702	1.01	ecoli_colombos	0.05	strict	chengchurch	0.00031150101245119545	0.0004072639174611794	0.09302325581395349	0.010549585026329213	36.42412996292114
25	0.07907622486946664	1.01	ecoli_colombos	0.05	interconnected	chengchurch	0.0002781078640227679	0.0006868131868131869	0.11538461538461539	0.008754107750728221	36.42412996292114
26	0.03632110535696798	1.01	ecoli_colombos	0.05	minimal	chengchurch	0.00011692154700458239	0.00047648369692704666	0.08928571428571429	0.013652089466333471	36.42412996292114
27	0.6700959586277581	1.01	ecoli_colombos	0.1	strict	chengchurch	0.013357060938223366	0.004416204325579971	0.12307533247979766	0.05618290194793381	28.046681880950928
28	0.7147313249960464	1.01	ecoli_colombos	0.1	interconnected	chengchurch	0.009567586725884225	0.003513998950071819	0.08935576538884929	0.05088320843867405	28.046681880950928
29	0.8002081586902711	1.01	ecoli_colombos	0.1	minimal	chengchurch	0.00714466860070216	0.0063796090071946135	0.0977914126137358	0.0491052422050733	28.046681880950928
30	0.5126193957669143	1.01	ecoli_colombos	0.2	strict	chengchurch	0.014470706656361387	0.0031570463045606976	0.08692157770296179	0.04279173665933253	16.15403389930725
31	0.6169435487267722	1.01	ecoli_colombos	0.2	interconnected	chengchurch	0.01166938728457155	0.00269885202498198	0.07716235180536225	0.04500692069509473	16.15403389930725
32	0.800507756831547	1.01	ecoli_colombos	0.2	minimal	chengchurch	0.011740655491048869	0.006662227200461448	0.07746336133778926	0.03778939404670578	16.15403389930725
33	0.6601887090879972	1.01	ecoli_colombos	0.5	strict	chengchurch	0.0313459966023221	0.004096057139520611	0.10960077057931257	0.047946829260584974	14.291571855545044
34	0.9122973082733753	1.01	ecoli_colombos	0.5	interconnected	chengchurch	0.03421723860528975	0.004819364385909669	0.09561417670610795	0.04849053525593376	14.291571855545044
35	1.233466411477357	1.01	ecoli_colombos	0.5	minimal	chengchurch	0.04545300544516378	0.013983114471169447	0.1019101934606192	0.04127709935121794	14.291571855545044
36	0.27723281462218496	1.01	ecoli_colombos	1.0	strict	chengchurch	0.02743866907522871	0.0015709161684291247	0.05725190839694656	0.019230769230769232	12.421797037124634
37	0.549880644505091	1.01	ecoli_colombos	1.0	interconnected	chengchurch	0.03655832703451752	0.0029594836170799897	0.08095238095238096	0.023809523809523808	12.421797037124634
38	0.9237213191982848	1.01	ecoli_colombos	1.0	minimal	chengchurch	0.0609560600500018	0.012645494401695939	0.1425287356321839	0.023451261382295863	12.421797037124634
39	0.0	1.1	ecoli_colombos	0.0001	strict	chengchurch	0.0	0.0	0.0	0.0	297.4986698627472
40	0.0	1.1	ecoli_colombos	0.0001	interconnected	chengchurch	0.0	0.0	0.0	0.0	297.4986698627472
41	0.0	1.1	ecoli_colombos	0.0001	minimal	chengchurch	0.0	0.0	0.0	0.0	297.4986698627472
42	0.0	1.1	ecoli_colombos	0.0002	strict	chengchurch	0.0	0.0	0.0	0.0	290.0901200771332
43	0.0	1.1	ecoli_colombos	0.0002	interconnected	chengchurch	0.0	0.0	0.0	0.0	290.0901200771332
44	0.0	1.1	ecoli_colombos	0.0002	minimal	chengchurch	0.0	0.0	0.0	0.0	290.0901200771332
45	0.0	1.1	ecoli_colombos	0.0005	strict	chengchurch	0.0	0.0	0.0	0.0	306.80976915359497
46	0.0	1.1	ecoli_colombos	0.0005	interconnected	chengchurch	0.0	0.0	0.0	0.0	306.80976915359497
47	0.0013578587762247069	1.1	ecoli_colombos	0.0005	minimal	chengchurch	3.4574287653279235e-06	0.00010217113665389528	0.06666666666666667	0.004271502154978649	306.80976915359497
48	0.0	1.1	ecoli_colombos	0.001	strict	chengchurch	0.0	0.0	0.0	0.0	285.1763770580292
49	0.0	1.1	ecoli_colombos	0.001	interconnected	chengchurch	0.0	0.0	0.0	0.0	285.1763770580292
50	0.006072806764177562	1.1	ecoli_colombos	0.001	minimal	chengchurch	1.7317918014185852e-05	0.00013683634373289546	0.07142857142857142	0.003339100536125397	285.1763770580292
51	0.018305560866006775	1.1	ecoli_colombos	0.002	strict	chengchurch	7.907202336683991e-05	0.00021204410517387614	0.1111111111111111	0.006236120510314059	249.78204703330994
52	0.004683859116480724	1.1	ecoli_colombos	0.002	interconnected	chengchurch	1.1139348432886538e-05	7.558578987150416e-05	0.047619047619047616	0.003913956869621894	249.78204703330994
53	0.0012306661758258374	1.1	ecoli_colombos	0.002	minimal	chengchurch	3.1349307493748717e-06	9.578544061302684e-05	0.08333333333333333	0.002991485238759455	249.78204703330994
54	0.02332058955822552	1.1	ecoli_colombos	0.005	strict	chengchurch	0.00011229711639455689	0.00021204410517387614	0.1111111111111111	0.008005883005883006	235.21132397651672
55	0.018559479910814757	1.1	ecoli_colombos	0.005	interconnected	chengchurch	4.987259947577408e-05	0.000202020202020202	0.09090909090909091	0.006265031265031264	235.21132397651672
